ID,都道府県,城名,読み方,種類,所在地,築城年代,城主・築城者,別名,備考
1,青森県,七戸城,しちのへじょう,,青森県上北郡七戸町字七戸,,工藤氏、南部氏,柏葉城、（七戸陣屋）,遺構: 曲輪、帯曲輪、腰曲輪、土塁、横堀（空堀）、虎口、武者隠し
2,青森県,三世寺館,さんぜじだて,,青森県弘前市三世寺字色吉,,不明,－,遺構: 曲輪、土塁、切岸
3,青森県,三戸城,さんのへじょう,,青森県三戸郡三戸町梅内城ノ下,,南部氏,留ヶ崎城、三戸高城,遺構: 曲輪、腰曲輪、石垣、土塁、横堀（空堀）、門、御台所
4,青森県,下田館,しもだだて,,青森県上北郡おいらせ町舘越（下田小学校）,,下田氏,－,遺構: 堀跡？
5,青森県,中里城,なかさとじょう,,青森県北津軽郡中泊町中里字亀山741他,,安東氏,－,遺構: 曲輪、土塁、横堀（空堀）、井戸跡、竪穴建物
6,青森県,中野不動館,なかのふどうだて,,青森県黒石市南中野字不動館,,築地氏,不動館城,遺構: 曲輪、土塁、横堀（空堀）
7,青森県,乳井城,にゅういじょう,,青森県弘前市薬師堂舘ノ平,,乳井氏,大隅館、大館,遺構: 曲輪
8,青森県,伝法寺館,でんぽうじたて,,青森県十和田市伝法寺字伝法寺,,日の宮氏、津村氏（南部氏家臣）,日の宮館、津村館,遺構: 曲輪、土塁、横堀（空堀）
9,青森県,八戸城,はちのへじょう,,青森県八戸市内丸（三八城公園）,,南部氏,八戸陣屋,遺構: 移築門（角御殿表門）、土塁
10,青森県,内沼蝦夷館,うちぬまえぞだて,,青森県上北郡六ヶ所村大字倉内字芋ヶ崎,,不明,－,遺構: 曲輪、土塁、堀切、横堀（空堀）
11,青森県,剣吉城,けんよしじょう,,青森県三戸郡南部町剣吉字大館,,北氏,剣吉館、大館,遺構: 曲輪
12,青森県,原子城,はらこじょう,,青森県五所川原市原子字山元,,原子氏（北畠氏家臣）,原子館,遺構: 曲輪、土塁、横堀（空堀）
13,青森県,和徳城,わっとくじょう,,青森県弘前市和徳町210-3,,安倍氏、小山内氏、森岡氏,－,遺構: 曲輪、土塁？
14,青森県,唐川城,からかわじょう,,青森県五所川原市相内相内山国有林557,,安東氏,－,遺構: 曲輪、横堀（空堀）
15,青森県,堀越城,ほりこしじょう,,青森県弘前市堀越柏田,,曾我氏、津軽氏,－,遺構: 曲輪、土塁、横堀（空堀）、土橋
16,青森県,多宇末井館,とうまいだて,,青森県青森市浅虫字山下,,大河氏,蝦夷館、蝦夷ヶ館,遺構: 曲輪、横堀（空堀）
17,青森県,大光寺城,だいこうじじょう,,青森県平川市大光寺三村井他（地図は大光寺新城を示す）,,曾我氏、安東氏、南部氏、津軽氏,大光寺新城、（大光寺古館）、（大光寺五日市館）,遺構: 曲輪、土塁、横堀
18,青森県,大浦城,おおうらじょう,,青森県弘前市五代早稲田,,大浦氏,八幡城、賀田城,遺構: 曲輪、土塁、横堀（水堀）、堀切
19,青森県,奥瀬館,おくせだて,,青森県十和田市奥瀬字上通,,奥瀬氏,－,遺構: 曲輪
20,青森県,小栗山館,こぐりやまだて,,青森県弘前市小栗山字沢部,,倉光孫三郎、小栗山左京,小栗山楯,遺構: 消滅
21,青森県,尻八館,しりはちだて,,青森県青森市後潟後潟山,,安東氏,尻八楯、尻八城、霊光城、志利幌（シリポロ）チャシ,遺構: 曲輪、腰曲輪、土塁、横堀（空堀）、堀切
22,青森県,尻内城,しりうちじょう,,青森県八戸市尻内町大仏館,,中館政直,尻内館（大仏遺跡）,遺構: 曲輪
23,青森県,島守館,しまもりだて,,青森県八戸市南郷大字島守字舘（島守舘農園）,,島守氏,嶋守館,遺構: 曲輪、横堀（空堀）
24,青森県,平舘台場,ひらだてだいば,,青森県東津軽郡外ヶ浜町字平舘田の沢,,弘前藩,－,遺構: 土塁
25,青森県,弘前城,ひろさきじょう,,青森県弘前市大字下白銀町1-1,,津軽氏,鷹岡城、高岡城,遺構: 曲輪、石垣、土塁、横堀（水堀）、天守、櫓、門
26,青森県,新城,しんじょう,,青森県青森市新城字平岡,,北畠（浪岡）氏,－,遺構: 曲輪、横堀（空堀）
27,青森県,新田城,にいだじょう,,青森県八戸市新井田,,新田氏,新井田城,遺構: 曲輪、帯曲輪、横堀（空堀）
28,青森県,柴崎城,しばざきじょう,,青森県北津軽郡中泊町小泊字嗽沢,,安東氏,－,遺構: 曲輪、土塁、横堀（空堀）、虎口
29,青森県,根城,ねじょう,,青森県八戸市根城下町42,,南部氏,八戸城、八戸根城,遺構: 曲輪、土塁、横堀（空堀）、井戸
